0,m=(-0.000137866 +/- -0.000137866), b=(0.233285 +/- 0.0195)
1,m=(-9.85889*10^-05 +/- 3.462*10^-05), b=(-2.64533 +/- 0.005411) 
2,m=(0.000412926 +/- 3.287*10^-05), b=(-2.41605 +/- 0.00419) 
3,m=(0.00018906 +/- 3.037*10^-05), b=(1.67881 +/- 0.005978) 
4,m=(6.56886*10^-05 +/- 2.052*10^-05), b=(1.34677 +/- 0.001786)
5,m=(1.45115*10^-05 +/- 9.723*10^-05), b=(2.29836 +/- 0.01095)
6,-
7,-
8,m=(6.91157*10^-05 +/- 3.767*10^-05), b=(-2.23705 +/- 0.003496)
9,m=(-8.23733*10^-05 +/- 5.909*10^-05), b=(1.99656 +/- 0.01327)
10,m=(3.23796*10^-05 +/- 3.495*10^-05), b=(0.184173 +/- 0.006209)
11,-
12,-
13,-
14,m=(-0.000299853 +/- 1.61*10^-05), b=(0.752358 +/- 0.004172)
15,m=(-0.000353764 +/- 1.455*10^-05), b=(1.21304 +/- 0.003769)
16,m=(-0.000365633 +/- 2.586*10^-05), b=(-0.679146 +/- 0.005185)
17,m=(-0.000370601 +/- 0.0001962), b=(2.13722 +/- 0.0615)
18,m=(-0.000438816 +/- 0.000105), b=(1.52056 +/- 0.02358)
19,m=(-0.000738621 +/- 7.089*10^-05), b=(2.40879 +/- 0.0262)
20,-
21,m=(-0.000541831 +/- 2.929*10^-05), b=(0.00007089 +/- 0.008124)
22,m=(-0.00142652 +/- 1.942*10^-05), b=(0.215954 +/- 0.00503)
23,m=(-0.00141169 +/- 2.727*10^-05), b=(2.41643 +/- 0.01014)
24,m=(-0.00111672 +/- 0.0001309), b=(1.08799 +/- 0.05174)
25,-
26,-
27,m=(-0.000498109 +/- 2.006*10^-05), b=(-0.344136 +/- 0.006406)
28,m=(0.0006229 +/- 3.427*10^-05), b=(2.57449 +/- 0.003181)
29,m=(0.00100478 +/- 3.583*10^-05), b=(1.3338 +/- 0.00911)
